munger,DATASET_FOLDER,DATA_SET_NAME,status,notes
Chester,forecast-methodology,hist_senate_preds,COMPLETED,"Should probably pull out "" (special election)"" from `state` and create dummy variable"
Chester,hip-hop-candidate-lyrics,hiphop_cand_lyrics,COMPLETED,
Chester,historical-ncaa-forecasts,hist_ncaa_bball_casts,DONE BUT NEEDS ATTENTION,No README.Rmd
Chester,infrastructure-jobs,state_payrolls,"TO DO (Not sure what data values represent, needs tidying)","Ran infrastructure-jobs.R to produce statepayrolls.csv, needed to change http to https and add method = ""curl"""
Chester,librarians,librarians,COMPLETED (missing variable specifications),Ran librarians.R to produce new-librarians-by-msa.csv
Chester,mad-men,mad_men,COMPLETED,performer variable needs cleaning for special characters
Chester,male-flight-attendants,male_flight_attend,COMPLETED,
Chester,march-madness-predictions,,NOT POSSIBLE,MULTIPLE DATA FILES
Chester,march-madness-predictions-2015,,NOT POSSIBLE,MULTIPLE DATA FILES
Chester,marriage,,TO DO (Needs major tidying),MULTIPLE DATA FILES
Chester,mlb-allstar-teams,mlb_as_team_talent,COMPLETED,
Chester,mlb-allstar-teams,mlb_as_play_talent,COMPLETED,
Chester,most-common-name,,NOT POSSIBLE,MULTIPLE DATA FILES
Chester,murder_2016,,,
Chester,nba-draft-2015,,TO DO,
Chester,nba-elo,,TO DO,
Chester,nba-tattoos,,TO DO,
Chester,nba-winprobs,,TO DO,
Chester,nfl-favorite-team,,TO DO,
Chester,nfl-suspensions,,TO DO,
Chester,nfl-ticket-prices,,TO DO,
Chester,nfl-wide-receivers,,TO DO,
Chester,nutrition-studies,,TO DO,
Chester,pew-religions,,TO DO,
Chester,police-deaths,,TO DO,
Chester,police-killings,,TO DO,
