DATASET_FOLDER,DATA_SET_NAME,TITLE,LINK,NUM_ROWS,NUM_COLS,OBSUNIT,LINKTEXT,SOURCEURL
forecast-methodology,hist_senate_preds,How The FiveThirtyEight Senate Forecast Model Works,http://fivethirtyeight.com/features/how-the-fivethirtyeight-senate-forecast-model-works/,207,5,US state elections,See ,https://github.com/fivethirtyeight/data/tree/master/forecast-methodology
hip-hop-candidate-lyrics,hiphop_cand_lyrics,Every mention of the 2016 primary candidates in hip-hop songs,http://projects.fivethirtyeight.com/clinton-trump-hip-hop-lyrics/,377,8,hip-hop songs referencing POTUS candidates in 2016,Genius,http://genius.com/
historical-ncaa-forecasts,hist_ncaa_bball_casts,The NCAA Bracket: Checking Our Work,http://fivethirtyeight.com/datalab/the-ncaa-bracket-checking-our-work,253,6,NCAA men's basketball tournament games,See,http://fivethirtyeight.com/datalab/the-ncaa-bracket-checking-our-work/
librarians,librarians,Where Are America's Librarians?,http://fivethirtyeight.com/datalab/where-are-americas-librarians,371,9,areas in the US,Bureau of Labor Statistics,http://www.bls.gov/oes/current/oes254021.htm#(1)
mad-men,mad_men,"""Mad Men"" Is Ending. What's Next For The Cast?",http://fivethirtyeight.com/datalab/mad-men-is-ending-whats-next-for-the-cast/,248,15,performers on TV shows,IMDB,http://imdb.com
male-flight-attendants,male_flight_attend,"Dear Mona, How Many Flight Attendants Are Men?",http://fivethirtyeight.com/datalab/dear-mona-how-many-flight-attendants-are-men/,320,2,job categories,IPUMS 2012,https://usa.ipums.org/usa/
mlb-allstar-teams,mlb_as_team_talent,The Best MLB All-Star Teams Ever,http://fivethirtyeight.com/features/the-best-mlb-all-star-teams-ever/,172,16,Major League Baseball seasons,"http://baseball-reference.com , http://chadwick-bureau.com, Fangraphs",Link
mlb-allstar-teams,mlb_as_play_talent,The Best MLB All-Star Teams Ever,http://fivethirtyeight.com/features/the-best-mlb-all-star-teams-ever/,3930,15,Major League Baseball players in given seasons,"http://baseball-reference.com , http://chadwick-bureau.com, Fangraphs",Link
murder_2016,murder_2016_prelim,A Handful Of Cities Are Driving 2016's Rise In Murder,http://fivethirtyeight.com/features/a-handful-of-cities-are-driving-2016s-rise-in-murders/,79,7,large US cities,Listed as \code{source} variable in dataset,Link
murder_2016,murder_2015_final,A Handful Of Cities Are Driving 2016's Rise In Murder,http://fivethirtyeight.com/features/a-handful-of-cities-are-driving-2016s-rise-in-murders/,,,,,
nba-draft-2015,nba_draft_2015,Projecting The Top 50 Players In The 2015 NBA Draft Class,http://fivethirtyeight.com/features/projecting-the-top-50-players-in-the-2015-nba-draft-class/,1090,9,National Basketball Association players/prospects,See,http://fivethirtyeight.com/features/projecting-the-top-50-players-in-the-2015-nba-draft-class/
nba-elo,nba_elo,Complete History Of The NBA,http://fivethirtyeight.com/interactives/the-complete-history-of-every-nba-team-by-elo,126314,23,games in US professional basketball history,Basketball Reference,http://basketball-reference.com
nba-tattoos,,,,,,,,
nba-winprobs,,,,,,,,
nfl-favorite-team,,,,,,,,
nfl-suspensions,,,,,,,,
nfl-ticket-prices,,,,,,,,
nfl-wide-receivers,,,,,,,,
nutrition-studies,,,,,,,,
pew-religions,,,,,,,,
police-deaths,,,,,,,,
police-killings,,,,,,,,
