subgroup,modeldate,startdate,enddate,pollster,grade,samplesize,population,weight,influence,dem,rep,adjusted_dem,adjusted_rep,multiversions,tracking,url,poll_id,question_id,createddate,timestamp
All polls,1/29/2018,1/23/2017,1/24/2017,Public Policy Polling,B+,1043,rv,1.017907,0,48,40,46.86218,39.78024,NA,NA,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_National_12617.pdf,49237,78153,1/25/2017,11:55:09 29 Jan 2018
All polls,1/29/2018,1/30/2017,1/31/2017,Public Policy Polling,B+,725,rv,0.6707079,0,45,42,43.86218,41.78024,NA,NA,http://www.publicpolicypolling.com/pdf/2017/PPP_Release_National_2217.pdf,49238,78151,2/1/2017,11:55:09 29 Jan 2018
All polls,1/29/2018,2/2/2017,2/6/2017,McLaughlin & Associates,C-,1000,lv,0.6387051,0,42.4,44,44.53702,41.52526,NA,NA,http://mclaughlinonline.com/2017/11/16/ma-national-survey-results-11-14-17/,50468,79643,2/7/2017,11:55:09 29 Jan 2018
All polls,1/29/2018,2/5/2017,2/6/2017,Emerson College,B,617,rv,0.9469491,0,48.1,46.3,48.34281,45.24397,NA,NA,http://media.wix.com/ugd/3bebb2_ad9933217cc64d9c9fdf4e34a27756c1.pdf,49292,78251,2/7/2017,11:55:09 29 Jan 2018
All polls,1/29/2018,2/7/2017,2/8/2017,Public Policy Polling,B+,712,rv,0.6522518,0,49,41,47.86218,40.78024,NA,NA,http://www.publicpolicypolling.com/pdf/2017/PPP_Release_National_21017.pdf,49287,78162,2/9/2017,11:55:09 29 Jan 2018
All polls,1/29/2018,2/15/2017,2/20/2017,McLaughlin & Associates,C-,1000,lv,0.5990136,0,43.5,43.8,45.63702,41.32526,NA,NA,http://mclaughlinonline.com/2017/11/16/ma-national-survey-results-11-14-17/,50467,79642,2/21/2017,11:55:09 29 Jan 2018
All polls,1/29/2018,2/21/2017,2/22/2017,Public Policy Polling,B+,941,rv,0.9191785,0,46,43,44.86218,42.78024,NA,NA,http://www.publicpolicypolling.com/pdf/2017/PPP_Release_National_22417.pdf,49324,78150,2/23/2017,11:55:09 29 Jan 2018
All polls,1/29/2018,3/10/2017,3/12/2017,Public Policy Polling,B+,808,rv,0.8719774,0,46,41,44.86218,40.78024,NA,NA,http://www.publicpolicypolling.com/pdf/2017/PPP_Release_National_31517.pdf,49488,78145,3/13/2017,11:55:09 29 Jan 2018
All polls,1/29/2018,3/16/2017,3/20/2017,McLaughlin & Associates,C-,1000,lv,0.6966384,0,42.9,44.6,45.03702,42.12526,NA,NA,http://mclaughlinonline.com/2017/11/16/ma-national-survey-results-11-14-17/,50466,79641,3/21/2017,11:55:09 29 Jan 2018
All polls,1/29/2018,3/22/2017,3/27/2017,Marist College,A,906,rv,1.611734,0,47,38,47.07194,38.29712,NA,NA,https://www.documentcloud.org/documents/3532285-McClatchy-Marist-Poll-National-Nature-of-the.html,49556,78147,3/28/2017,11:55:09 29 Jan 2018
All polls,1/29/2018,3/27/2017,3/28/2017,Public Policy Polling,B+,677,rv,0.8197694,0,48,43,46.86218,42.78024,NA,NA,http://www.publicpolicypolling.com/pdf/2017/PPP_Release_National_33017.pdf,49550,78152,3/29/2017,11:55:09 29 Jan 2018
All polls,1/29/2018,3/30/2017,4/1/2017,Morning Consult,NA,1995,rv,0.5631806,0,41,39,45.37654,39.76748,NA,NA,https://morningconsult.com/wp-content/uploads/2017/04/170401_crosstabs_Politico_v3_AG-1.pdf,49577,78242,4/2/2017,11:55:09 29 Jan 2018
All polls,1/29/2018,4/6/2017,4/9/2017,Morning Consult,NA,1988,rv,0.4396639,0,43,40,47.37654,40.76748,NA,NA,http://www.politico.com/f/?id=0000015b-5fbb-da80-afdf-dfff4d650002,49603,78241,4/10/2017,11:55:09 29 Jan 2018
All polls,1/29/2018,4/10/2017,4/11/2017,YouGov,B,1324,rv,0.7601014,0,40,37,45.6619,40.49469,NA,NA,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/qs45iqlax3/econTabReport.pdf,49604,78156,4/12/2017,11:55:09 29 Jan 2018
