"","subgroup","modeldate","dem_estimate","dem_hi","dem_lo","rep_estimate","rep_hi","rep_lo","timestamp"
"1","Voters","1/15/2018",47.67439,53.22013,42.12865,37.9906,42.3829,33.59829,"22:09:10 15 Jan 2018"
"2","Adults","1/15/2018",43.81928,50.94237,36.69619,34.76387,40.36546,29.16227,"22:09:08 15 Jan 2018"
"3","All polls","1/15/2018",47.67734,53.2099,42.14478,38.03812,42.4352,33.64105,"22:09:07 15 Jan 2018"
"4","Adults","1/14/2018",43.81928,50.94237,36.69619,34.76387,40.36546,29.16227,"18:00:12 14 Jan 2018"
"5","Voters","1/14/2018",47.80764,53.4387,42.17659,37.76401,41.99232,33.53569,"18:00:14 14 Jan 2018"
"6","All polls","1/14/2018",47.81088,53.42871,42.19305,37.81557,42.04863,33.5825,"18:00:11 14 Jan 2018"
"7","Voters","1/13/2018",47.80764,53.4387,42.17659,37.76401,41.99232,33.53569,"18:00:13 13 Jan 2018"
"8","Adults","1/13/2018",43.81928,50.94237,36.69619,34.76387,40.36546,29.16227,"18:00:12 13 Jan 2018"
"9","All polls","1/13/2018",47.81088,53.42871,42.19305,37.81557,42.04863,33.5825,"18:00:11 13 Jan 2018"
"10","Adults","1/12/2018",43.81928,50.94237,36.69619,34.76387,40.36546,29.16227,"15:23:08 12 Jan 2018"
"11","Voters","1/12/2018",47.80764,53.4387,42.17659,37.76401,41.99232,33.53569,"15:23:09 12 Jan 2018"
"12","All polls","1/12/2018",47.81088,53.42871,42.19305,37.81557,42.04863,33.5825,"15:23:07 12 Jan 2018"
"13","Voters","1/11/2018",48.83465,54.60071,43.06859,37.30757,41.41254,33.2026,"12:38:11 11 Jan 2018"
"14","Adults","1/11/2018",43.75888,51.07518,36.44258,34.99544,40.70803,29.28284,"12:38:09 11 Jan 2018"
"15","All polls","1/11/2018",48.83119,54.58389,43.07848,37.3715,41.4814,33.26161,"12:38:08 11 Jan 2018"
"16","Voters","1/10/2018",48.49,54.1211,42.8589,38.25657,42.49297,34.02016,"12:36:11 10 Jan 2018"
"17","Adults","1/10/2018",43.75888,51.07518,36.44258,34.99544,40.70803,29.28284,"12:36:09 10 Jan 2018"
"18","All polls","1/10/2018",48.49435,54.11189,42.87681,38.31253,42.55373,34.07133,"12:36:08 10 Jan 2018"
