"","date","Alabama","Arizona","California","Colorado","Florida","Georgia","Idaho","Illinois","Indiana","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Montana","Nebraska","New Jersey","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Puerto Rico","South Carolina","South Dakota","Tennessee","Texas","Utah","Virginia","Washington","Wisconsin","Wyoming"
"1",2007-01-01,16.8,27.8,88.9,19.1,78.9,34.3,5.2,22.9,12.9,9.4,11,38.7,2.7,16,9.5,13.9,8.5,4.4,5.6,15.1,21.9,33,1.7,18.8,11.3,10.8,28.6,10.3,17.6,2.4,NA,119.2,9.3,30.6,20.6,11.2,7.2
"2",2007-02-01,16.7,27.9,87.3,18.8,80.2,34.4,5.3,21.5,12.3,8.5,10.8,38.8,2.6,15.4,9,14.2,8.1,4.5,5.6,14.1,20.5,32.7,1.8,17.6,11.3,10.9,27.9,10.6,17.8,2.3,NA,122.2,9.4,30.1,21.3,11.4,7.2
"3",2007-03-01,17.3,28,88.8,20,80.9,34.8,5.6,24.3,14.1,9.7,12.3,39.5,2.7,16,9.4,15.1,9.1,4.9,6.3,15.7,21.6,33.9,2,19.7,11.8,11.2,31.2,10,18,2.6,NA,124.8,10,30.7,22.2,12.5,7.7
"4",2007-04-01,17.2,27.9,89.3,21,79.7,34.1,6.2,28.3,16.6,10.4,13.6,40.1,3,17.1,11.3,17,10.9,5.8,7.6,18,25.1,34.3,2.6,22.9,11.8,11.4,33.8,10.8,17.9,3,NA,124.9,10.8,32,23.2,14.1,8.2
"5",2007-05-01,17.5,28.2,91.3,22,78.9,34.5,6.7,32.1,18.4,10.7,14.5,40.6,3.4,17.8,13,19.8,16.5,6.7,8,18.8,28.8,34.4,3.6,26.2,11.9,12.1,36.1,10.9,18.1,3.8,NA,127.2,11.5,32.7,24.6,17.5,8.8
"6",2007-06-01,17.7,28.4,92.5,22.9,79.1,34.7,7,33.6,18.5,11.3,15,39.6,3.6,18.4,13.5,21.1,18.1,6.9,8.5,19.2,30.2,34.8,4.1,27.4,12.1,12.8,36.5,10,18.1,4.2,NA,129.4,12,33,25.2,18.5,9.1
"7",2007-07-01,17.5,28,93.1,23.8,77.2,34.2,7.2,34.2,18.8,11.7,15.5,39.3,3.6,18.1,13.5,20.1,18.4,6.7,9.8,19.1,30.4,34.7,4.3,27,12,13.3,36.4,10.5,17.9,4.5,NA,126.5,12.1,32.8,25.6,18.9,9.7
"8",2007-08-01,17.7,28.4,93.5,24.3,76.4,34.7,7.3,35.1,18.9,12.2,15.6,40,3.6,18.3,13.5,20.5,18.6,6.8,9.9,19.4,30.8,34.7,4.5,27.3,12.2,13.4,36.9,10.5,17.8,4.6,NA,127.5,12.7,33,26.1,18.8,9.9
"9",2007-09-01,17.7,28.7,93.6,23.6,76.3,34.5,7.1,35.3,18.8,12,15.5,40.1,3.7,18.2,13.4,20.3,18.3,6.5,9.9,19.5,30.2,34.7,4.5,27.3,12,13.4,38,10.7,17.5,4.5,NA,130.1,12.6,32.7,26.2,18.5,10
"10",2007-10-01,17.7,28.5,93.1,24.2,75.1,34,6.9,34.8,19.2,12.1,15.2,40.9,3.6,18,13.5,20.3,17.8,6.1,9.2,20.1,30.3,34.5,4.5,27.1,12.2,13.2,37.8,11.1,17.3,4.2,NA,131.7,12.1,32.1,25.3,18.3,10.2
"11",2007-11-01,17.7,28,92.4,23.5,74.9,33.9,6.4,33.2,18.6,12,14.8,39.7,3.5,17.5,13.2,18.4,16,5.8,8.4,19.6,28.8,34.1,4.1,25.2,12.3,12.6,34.8,11,17.2,3.7,NA,132,11.6,31.6,24,17.5,10.3
"12",2007-12-01,17.8,27.6,90.6,21.5,74.3,33.3,6,28.9,16.3,11,13.7,39.5,3,16.8,11.9,15.6,11.8,5.1,6.9,18.5,25.9,33.6,3,21.8,12.1,12.2,30.6,9,17,3.2,NA,131.6,10.7,31.2,22.7,14.1,9.5
"13",2008-01-01,17.1,26.6,84.8,19.4,71,32,5,24,13.3,9.4,11.9,37.1,2.7,15.4,9.2,12.6,9,4.3,5.8,16.3,22.2,31.6,2.4,17.8,11.7,10.8,27.7,7.5,16.3,2.4,NA,128.4,9.5,29.4,20.9,11.3,9.3
"14",2008-02-01,17.1,27,85.7,19.1,71,31.8,4.8,23.7,13.3,9.4,11.7,37.1,2.7,15.3,8.9,12.8,9,4.3,5.7,15.9,21.8,31.3,2.4,17.7,11.8,10.9,28,7.6,16.1,2.4,NA,132,9.4,29.1,21,11.3,9
"15",2008-03-01,17.2,27.2,85,20,70.8,31.5,5.3,25.4,14.4,10.1,12.4,37.8,2.7,15.8,9.4,13.7,9.5,4.7,6.2,17,22.9,31.9,2.7,18.2,12.1,11,30.6,7.7,16.1,2.6,NA,133.1,9.6,29.8,21.3,11.7,9.2
"16",2008-04-01,17.4,27.1,84.4,21.2,69.9,31.4,5.8,28.9,16.6,10.9,13.6,38.9,3.1,16.8,11.4,15.5,10.7,5.2,7.7,18.9,26.4,32.3,3.2,21.7,12,11.1,33.9,7.7,15.6,3,NA,133.9,10.2,31.1,22,13.4,8.7
"17",2008-05-01,17.5,26.9,84.7,22.9,68.9,31.3,6.2,31.5,17.9,11.4,14.8,40.3,3.6,16.9,12.7,19.1,16.4,5.7,8,19.4,30.6,32.6,4.3,24.5,12.1,11.5,36.2,7.8,15.5,4,NA,135.4,10.8,31.6,22.8,16.9,9.6
"18",2008-06-01,17.5,26.3,84.9,24.1,68.3,30.8,6.7,32.4,18.5,11.6,15,40.7,3.7,17.5,12.9,20.1,18.2,6,7.9,19.4,31.9,32.4,5.1,25.9,12.2,12.1,35.5,7.8,15.5,4.2,NA,133.6,11.1,31.9,23.2,17.9,9.8
"19",2008-07-01,17.2,25.9,84.5,24.7,66.7,30.2,6.8,33.4,18.8,11.6,15.1,41,3.6,18.2,13.2,19.8,18.1,6.3,8.1,19.9,32.9,32.2,6.2,25.8,13,12.2,35.5,7.8,15.2,4.3,NA,132,11.1,31.6,24,18.6,10.4
"20",2008-08-01,17.2,25.4,84.2,24.9,65.4,29.8,6.8,35,19,11.8,15.2,41.9,3.5,18.2,13.2,19.9,18.1,6.4,8.1,19.8,33.5,31.8,6.3,26,13.1,12.5,36,8,14.9,4.4,NA,133.1,11.2,31.5,24.3,18.5,10.7
"21",2008-09-01,17.1,24.6,84.1,24.9,64.5,29.4,6.8,35.6,19,11.4,15.1,43.1,3.5,18.2,12.9,19.9,17.1,6.2,8.1,19.8,33,32.1,6.2,25.8,13.3,12.5,36.9,7.9,14.5,4.5,NA,133.2,11,31.4,23.8,18,10.4
"22",2008-10-01,16.8,23.7,83.7,24.2,63.8,28.5,6.3,35.8,19.4,11.3,15.3,43.3,3.6,18.1,12.8,19.7,16.6,6,8.1,21.1,33.4,31.2,5.6,26,13.4,12,35.9,7.8,14.2,4.5,NA,133.5,10.6,31.5,22.8,17.8,10.1
"23",2008-11-01,16.8,23,81.1,23.2,62.6,27.7,5.6,33.2,19.3,10.9,14.7,43.5,3.3,17.9,12.4,17.6,13.8,5.5,7.4,20.4,31.1,30.3,4.8,23.8,13.5,11.2,32.7,7.7,13.9,4.1,NA,132.1,9.8,30.3,21,16.1,9.3
"24",2008-12-01,16.6,22.1,78.9,21,61.5,26.8,5.1,27.7,16.9,10.6,13.7,44.2,2.7,17.4,11,14.4,10,4.9,6.7,18.5,27.1,29.2,3.7,20.7,13.3,10.4,29,8.3,13.5,3.2,NA,129.4,9.1,29.4,19.4,12.7,7.7
"25",2009-01-01,15.4,20.7,73.9,18.7,58.1,25.4,4.2,21.9,14.1,8.6,11.9,42.9,2.3,15.8,8.4,11.7,6.7,3.8,5.4,15.1,22.6,26.3,2.7,17,12.8,9.2,25.6,6.4,13.3,2.3,NA,123.2,7.6,26.8,17.9,10.1,6.7
"26",2009-02-01,15.3,20,69.4,18.7,57.7,25.1,4.1,20.8,14.2,8.7,12.1,43.8,2.3,15.5,8,12.1,6.9,3.9,5.3,15,22.7,26.2,2.4,16.8,12.6,8.7,25.5,6.4,12.8,2.4,NA,122.4,7.5,26.1,17.5,10.3,6.3
"27",2009-03-01,15.8,19.2,70.2,18.9,57.4,25,4.3,21.6,15.4,9.2,12.4,43.6,2.3,15.7,8.4,12.7,7.6,3.9,5.8,15.9,23.5,25.9,2.5,17.9,12.5,8.5,28.3,6.3,13,2.4,NA,119.4,7.9,26.6,17.5,10.6,6.5
"28",2009-04-01,16,19.1,69.8,19.2,56.1,25.4,5,24.8,17,9.9,13.2,43.1,2.7,15.8,10.6,15.2,10,4.6,7.2,17,26.8,26.4,2.8,20.1,12.3,8.7,32,5.9,12.6,2.8,NA,116.2,8.4,28.1,18.2,13.2,7.2
"29",2009-05-01,15.9,18.7,70,19.4,55.4,25.8,5.5,27.2,17.7,10.8,13.7,43.1,2.9,16,11.6,17.4,14.1,5,8,17.3,29.9,26.5,4.1,23.5,12.1,9.4,32.6,5.6,12.6,4.3,NA,115.5,9.1,28.5,19.4,15.7,7.8
"30",2009-06-01,15.5,18.8,70.3,20.1,54.3,25.8,5.8,27.9,18.4,11.4,14.1,41.8,3.1,16.3,12,17.8,15.6,5.7,8.3,17.5,31.1,26.5,5.1,25.6,12.2,9.8,32.9,5.6,12.7,4.9,NA,113.9,9.5,29,19.8,16.5,7.7
"31",2009-07-01,15,17.7,70,20.5,53.5,25.9,6.1,29.3,18.2,11.6,14.5,41.7,3.1,16.5,12.3,17.7,15.9,6,9.3,17.7,31.9,26.6,5.8,26.8,12,10.7,33.6,5.6,12.4,5.3,NA,112,9.6,29.5,20.2,16.9,8.1
"32",2009-08-01,14.9,17.1,71.1,20.1,52.6,25.7,6.2,29.8,18.1,11.4,14.7,41.5,3.1,16.5,12.4,17.4,16.2,6,9.2,17.7,32.2,26.6,5.9,26.7,11.8,10.9,34,5.4,12.4,4.3,NA,110.6,9.8,29.7,20.8,17,8.2
"33",2009-09-01,15.1,16.9,70.6,19.4,52.2,25.5,6.1,30.4,18.2,11.2,15,40.9,3.1,16.5,12.4,16.9,17.7,5.9,9.2,17.6,31.8,26.5,6.1,25.7,11.8,10.8,34.7,5.3,12.4,4.1,NA,109.1,9.6,29.6,20.7,17.1,8
"34",2009-10-01,14.6,16.9,70.6,18.6,52.1,25.2,5.8,29.7,17.8,10.2,15.2,40,3,16,12.4,16.8,17.2,5.5,8.9,17.7,31.7,26.1,6,24.8,11.8,10.5,35.1,5.3,12.4,4.3,NA,109.1,9.5,29.3,19.8,16.7,7.8
"35",2009-11-01,14.7,16.9,70.3,17.7,51.7,24.9,5.4,26.6,17.2,9.7,14.7,39.9,2.8,15.6,12.2,15.3,16.2,5,8.1,17.5,30.6,25.6,5.3,22.4,11.9,9.5,32.7,5.1,12.2,3.9,NA,108.3,9,29,18.1,15.4,7.5
"36",2009-12-01,15,16.6,65.9,15.6,51.4,24.3,4.8,21.2,14.8,8.6,13.7,38.6,2.4,15,10.9,12.4,13.4,3.9,6.6,16.8,27.6,25.2,4,18.7,11.7,8.6,28.3,5.7,12.2,3.1,NA,107.6,8.1,28.6,16.7,11.9,6.6
"37",2010-01-01,14.3,15.9,62.6,14.2,49.1,23.2,4.2,16.8,11.8,7.2,11.3,37.1,2.2,13.1,8.5,9.4,9,3.5,4.6,13.8,23.1,23.2,2.9,14.8,11.4,7.9,23.7,4.8,11.2,2.3,NA,108,7.3,26.3,15.3,9.4,5.8
"38",2010-02-01,14.4,15.9,60.7,14.1,49.1,22.7,4.3,16.8,11.5,7.3,10.6,36.8,2.2,12,8.1,9.8,7.5,3.4,4.7,13.7,23,22.7,2.7,14.1,11.7,7.8,23.3,5,11.2,2.2,NA,106.5,7.4,25.3,15.4,9.1,5.8
"39",2010-03-01,15.3,15.8,62.2,14.8,49.5,22.6,4.6,18.4,12.6,8.1,11.4,37.6,2.1,13,8.7,10.6,7.3,4.1,4.9,14.7,25,24.2,2.9,15.7,11.9,7.9,27.1,4.9,11.5,2.3,NA,107.7,7.8,26.8,15.9,9.6,6
"40",2010-04-01,15,16.1,63.2,16.1,49.4,22.9,5,24.1,15.9,9.6,12.4,37.3,2.3,14.5,10.8,13.6,10.7,4.9,6.1,16.1,29.4,25.2,4,19.1,12,8.5,33.2,5,12.3,3.2,NA,108.2,8.3,29.1,16.4,12.4,6.6
"41",2010-05-01,15.8,15.8,64.6,16.9,49.1,23,5.4,25.7,17.1,9.9,12.7,37.9,2.8,14.8,11.8,15.5,13.7,5.3,6.5,16.7,30.9,25.5,4.7,21.1,12.2,8.9,34.4,5.1,12.3,3.7,NA,109.7,8.8,29.9,17.1,13.9,7.3
"42",2010-06-01,16.4,16.1,65.9,17.7,49.6,22.8,5.7,26.8,17.5,10.5,13,39,2.9,15.2,12.4,16.2,15.3,5.6,7.2,17,31.6,25.7,5.1,22,12.6,9.2,34.4,5.2,12.5,4.2,NA,109.4,9.1,30.3,17.6,14.5,7.5
