date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,score1,score2
1920-09-26,1920,0,,RII,STP,1503.947,1300.0,0.8246512009492516,0.1753487990507484,1516.108,1287.838,48,0
1920-10-03,1920,0,,CBD,PTQ,1504.688,1300.0,0.8252671507782987,0.1747328492217013,1516.803,1287.885,48,0
1920-10-03,1920,0,,BFF,WBU,1478.004,1300.0,0.8020003005487033,0.1979996994512967,1489.757,1288.247,32,6
1920-10-03,1920,0,,AKR,WHE,1503.42,1300.0,0.8242120973373386,0.17578790266266142,1515.278,1288.142,43,0
1920-10-03,1920,0,,RCH,ABU,1503.42,1300.0,0.8242120973373386,0.17578790266266142,1510.934,1292.486,10,0
1920-10-03,1920,0,,RII,MUN,1516.108,1478.004,0.6441710901126361,0.35582890988736393,1542.135,1451.977,45,0
1920-10-03,1920,0,,CHI,MUT,1368.333,1300.0,0.6829855714913705,0.3170144285086295,1386.533,1281.8,20,0
1920-10-03,1920,0,,DAY,COL,1493.002,1504.908,0.5758191240920725,0.4241808759079275,1515.434,1482.475,14,0
1920-10-10,1920,0,,CHI,KEW,1386.533,1300.0,0.7052228213582555,0.29477717864174446,1402.774,1283.76,25,7
1920-10-10,1920,0,,CBD,TLM,1516.803,1300.0,0.8350967251138723,0.16490327488612766,1527.799,1289.004,42,0
1920-10-10,1920,0,,BFF,ABU,1489.757,1292.486,0.8190246337513903,0.18097536624860966,1502.536,1279.708,51,0
1920-10-10,1920,0,,DHR,CLP,1499.667,1300.0,0.8210600128920061,0.17893998710799386,1510.196,1289.472,40,14
1920-10-10,1920,0,,AKR,COL,1515.278,1482.475,0.6371462416975575,0.3628537583024425,1540.552,1457.2,37,0
1920-10-10,1920,0,,CHT,ARI,1300.0,1493.002,0.32369581012897025,0.6763041898710298,1305.377,1487.625,0,0
1920-10-10,1920,0,,DAY,CTI,1515.434,1464.506,0.6609062119549988,0.33909378804500123,1510.527,1469.414,0,0
1920-10-10,1920,0,,RCH,FTP,1510.934,1300.0,0.8303914086394528,0.16960859136054718,1523.607,1287.327,66,0
1920-10-10,1920,0,,RII,HAM,1542.135,1444.259,0.7186125156699114,0.28138748433008864,1559.405,1426.99,26,0
1920-10-17,1920,0,,DAY,HAM,1510.527,1426.99,0.7016249406064283,0.2983750593935717,1531.807,1405.71,44,0
1920-10-17,1920,0,,RII,CHI,1559.405,1402.774,0.7817358026736219,0.21826419732637814,1523.251,1438.927,0,7
