name,league,rank,prev_rank,off,def,spi
Barcelona,Spanish Primera Division,1,1,3.4,0.2,95.3
Bayern Munich,German Bundesliga,2,2,3.1,0.4,91.8
Real Madrid,Spanish Primera Division,3,3,3.4,0.5,91.7
Paris Saint-Germain,French Ligue 1,4,4,3.2,0.5,91.4
Manchester City,Barclays Premier League,5,5,3.1,0.5,90.1
Liverpool,Barclays Premier League,6,6,3,0.7,86.8
Juventus,Italy Serie A,7,7,2.5,0.4,86.7
Chelsea,Barclays Premier League,8,9,2.6,0.5,85
Tottenham Hotspur,Barclays Premier League,9,8,2.6,0.6,84.6
Napoli,Italy Serie A,10,10,2.4,0.5,84.5
Atletico Madrid,Spanish Primera Division,11,11,2,0.3,83
Arsenal,Barclays Premier League,12,13,2.8,0.8,82.7
Borussia Dortmund,German Bundesliga,13,12,2.7,0.8,82.4
Manchester United,Barclays Premier League,14,14,2.3,0.7,79.7
FC Porto,Portuguese Liga,15,15,2.3,0.7,78.8
AS Roma,Italy Serie A,16,16,2.2,0.7,78
Bayer Leverkusen,German Bundesliga,17,19,2.4,0.8,77.7
Internazionale,Italy Serie A,18,18,2.2,0.7,76.7
Lazio,Italy Serie A,19,20,2.4,0.9,76.6
Lyon,French Ligue 1,20,24,2.2,0.7,76.5
Marseille,French Ligue 1,21,25,2.1,0.6,76.3
Real Sociedad,Spanish Primera Division,22,21,2.3,0.8,75.2
Valencia,Spanish Primera Division,23,17,2.2,0.8,74.9
Athletic Bilbao,Spanish Primera Division,24,22,2,0.7,74.8
Ajax,Dutch Eredivisie,25,27,2.6,1.1,74.6
AS Monaco,French Ligue 1,26,23,2.2,0.8,74.1
Benfica,Portuguese Liga,27,30,2,0.7,73.9
Sevilla FC,Spanish Primera Division,28,37,2.1,0.8,73.4
RB Leipzig,German Bundesliga,29,28,2.2,0.9,73.4
Shakhtar Donetsk,UEFA Champions League,30,29,2.2,0.9,73.4
Atalanta,Italy Serie A,31,26,2,0.8,73.1
Celta Vigo,Spanish Primera Division,32,35,2.1,0.9,72.5
Schalke 04,German Bundesliga,33,31,2,0.8,72.5
Eibar,Spanish Primera Division,34,32,1.9,0.7,72.2
Basel,Swiss Raiffeisen Super League,35,36,2.1,0.9,71.4
Villarreal,Spanish Primera Division,36,34,1.9,0.8,71.3
Eintracht Frankfurt,German Bundesliga,37,47,1.8,0.7,71.1
CSKA Moscow,Russian Premier Liga,38,38,1.8,0.7,71
Sporting CP,Portuguese Liga,39,33,2,0.8,70.9
Borussia Monchengladbach,German Bundesliga,40,43,2.2,1,70.8
Spartak Moscow,Russian Premier Liga,41,40,2.1,1,70.6
Zenit St Petersburg,Russian Premier Liga,42,42,1.8,0.7,70.5
