president,subgroup,modeldate,startdate,enddate,pollster,grade,samplesize,population,weight,influence,approve,disapprove,adjusted_approve,adjusted_disapprove,multiversions,tracking,url,poll_id,question_id,createddate,timestamp
Donald Trump,All polls,1/5/2018,1/20/2017,1/22/2017,Morning Consult,"",1992,rv,.7984222,0,46,37,42.13889,40.1742,"","",http://www.politico.com/story/2017/01/poll-voters-liked-trumps-inaugural-address-234148,49249,77261,1/23/2017,23:37:18  5 Jan 2018
Donald Trump,All polls,1/5/2018,1/20/2017,1/22/2017,Gallup,B-,1500,a,.2295444,0,45,45,46.22,43.18134,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49253,77265,1/23/2017,23:37:18  5 Jan 2018
Donald Trump,All polls,1/5/2018,1/20/2017,1/24/2017,Ipsos,A-,1632,a,.2874157,0,42.1,45.2,42.25164,44.22082,"",T,http://polling.reuters.com/#poll/CP3_2/,49426,77599,3/1/2017,23:37:18  5 Jan 2018
Donald Trump,All polls,1/5/2018,1/21/2017,1/23/2017,Gallup,B-,1500,a,.2117397,0,45,46,46.22,44.18134,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49262,77274,1/24/2017,23:37:18  5 Jan 2018
Donald Trump,All polls,1/5/2018,1/20/2017,1/25/2017,Quinnipiac University,A-,1190,rv,1.655253,0,36,44,37.82998,42.52622,"","",https://poll.qu.edu/national/release-detail?ReleaseID=2415,49260,77272,1/26/2017,23:37:18  5 Jan 2018
Donald Trump,All polls,1/5/2018,1/21/2017,1/25/2017,Ipsos,A-,1651,a,.2720012,0,42.3,45.8,42.45164,44.82082,"",T,http://polling.reuters.com/#poll/CP3_2/,49425,77598,3/1/2017,23:37:18  5 Jan 2018
Donald Trump,All polls,1/5/2018,1/22/2017,1/24/2017,Gallup,B-,1500,a,.1977148,0,46,45,47.22,43.18134,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49236,77248,1/25/2017,23:37:18  5 Jan 2018
Donald Trump,All polls,1/5/2018,1/22/2017,1/24/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,.2052379,0,57,43,52.30529,42.89227,"",T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49266,77278,1/25/2017,23:37:18  5 Jan 2018
Donald Trump,All polls,1/5/2018,1/23/2017,1/25/2017,YouGov,B,2692,a,1.517935,0,41,35,41.65189,37.51404,"","",http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/31rwbl7mh1/econToplines.pdf,49254,77266,1/26/2017,23:37:18  5 Jan 2018
Donald Trump,All polls,1/5/2018,1/23/2017,1/24/2017,Public Policy Polling,B+,1043,rv,1.204951,0,44,44,43.16379,44.50037,"","",http://www.publicpolicypolling.com/pdf/2015/PPP_Release_National_12617.pdf,49237,77249,1/25/2017,23:37:18  5 Jan 2018
Donald Trump,All polls,1/5/2018,1/22/2017,1/26/2017,Ipsos,A-,1678,a,.2605874,0,42.6,46.4,42.75164,45.42082,"",T,http://polling.reuters.com/#poll/CP3_2/,49424,77597,3/1/2017,23:37:18  5 Jan 2018
Donald Trump,All polls,1/5/2018,1/23/2017,1/25/2017,Gallup,B-,1500,a,.1864453,0,46,45,47.22,43.18134,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49245,77257,1/26/2017,23:37:18  5 Jan 2018
Donald Trump,All polls,1/5/2018,1/23/2017,1/25/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,.1904105,0,59,41,54.30529,40.89227,"",T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49247,77259,1/26/2017,23:37:18  5 Jan 2018
Donald Trump,All polls,1/5/2018,1/23/2017,1/27/2017,Ipsos,A-,1712,a,.2522293,0,44.5,45.5,44.65164,44.52082,"",T,http://polling.reuters.com/#poll/CP3_2/,49423,77596,3/1/2017,23:37:18  5 Jan 2018
Donald Trump,All polls,1/5/2018,1/24/2017,1/26/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,.1781945,0,55,45,50.30529,44.89227,"",T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49234,77246,1/27/2017,23:37:18  5 Jan 2018
Donald Trump,All polls,1/5/2018,1/24/2017,1/26/2017,Gallup,B-,1500,a,.1772692,0,45,48,46.22,46.18134,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49242,77254,1/27/2017,23:37:18  5 Jan 2018
Donald Trump,All polls,1/5/2018,1/24/2017,1/28/2017,Ipsos,A-,1684,a,.2366217,0,45.4,46,45.55164,45.02082,"",T,http://polling.reuters.com/#poll/CP3_2/,49422,77595,3/1/2017,23:37:18  5 Jan 2018
Donald Trump,All polls,1/5/2018,1/25/2017,1/27/2017,Gallup,B-,1500,a,.1697392,0,42,50,43.22,48.18134,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49257,77269,1/28/2017,23:37:18  5 Jan 2018
Donald Trump,All polls,1/5/2018,1/26/2017,1/28/2017,Morning Consult,"",1991,rv,.6630155,0,49,41,45.13889,44.1742,"","",http://www.politico.com/story/2017/02/poll-donald-trump-voter-fraud-234458,49241,77253,1/29/2017,23:37:18  5 Jan 2018
Donald Trump,All polls,1/5/2018,1/25/2017,1/29/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,.0964105,0,53,47,48.30529,46.89227,"",T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49239,77251,1/30/2017,23:37:18  5 Jan 2018
Donald Trump,All polls,1/5/2018,1/26/2017,1/28/2017,Gallup,B-,1500,a,.1635436,0,42,51,43.22,49.18134,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49251,77263,1/29/2017,23:37:18  5 Jan 2018
Donald Trump,All polls,1/5/2018,1/25/2017,1/29/2017,Ipsos,A-,1630,a,.2194699,0,48.2,45.1,48.35164,44.12082,"",T,http://polling.reuters.com/#poll/CP3_2/,49421,77594,3/1/2017,23:37:18  5 Jan 2018
Donald Trump,All polls,1/5/2018,1/27/2017,1/29/2017,Gallup,B-,1500,a,.1584605,0,43,50,44.22,48.18134,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49235,77247,1/30/2017,23:37:18  5 Jan 2018
Donald Trump,All polls,1/5/2018,1/26/2017,1/30/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,.2755507,0,51,49,46.30529,48.89227,"",T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49243,77255,1/31/2017,23:37:18  5 Jan 2018
Donald Trump,All polls,1/5/2018,1/26/2017,1/30/2017,Ipsos,A-,2204,a,.2854991,0,46.8,45.8,46.95164,44.82082,"",T,http://polling.reuters.com/#poll/CP3_2/,49420,77593,3/1/2017,23:37:18  5 Jan 2018
Donald Trump,All polls,1/5/2018,1/26/2017,1/30/2017,SurveyMonkey,C-,4444,a,.3715672,0,48,50,46.15891,48.45781,"","",https://blog.electiontracking.surveymonkey.com/2017/01/31/trump-approval-americans-divided-right-from-the-start/,49240,77252,1/31/2017,23:37:18  5 Jan 2018
Donald Trump,All polls,1/5/2018,1/28/2017,1/30/2017,Gallup,B-,1500,a,.1543306,0,43,51,44.22,49.18134,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49267,77279,1/31/2017,23:37:18  5 Jan 2018
Donald Trump,All polls,1/5/2018,1/27/2017,1/31/2017,Ipsos,A-,3153,a,.3950096,0,45.3,46.9,45.45164,45.92082,"",T,http://polling.reuters.com/#poll/CP3_2/,49419,77592,3/1/2017,23:37:18  5 Jan 2018
Donald Trump,All polls,1/5/2018,1/28/2017,2/1/2017,Ipsos,A-,3141,a,.3834344,0,45,47.9,45.15164,46.92082,"",T,http://polling.reuters.com/#poll/CP3_2/,49418,77591,3/1/2017,23:37:18  5 Jan 2018
Donald Trump,All polls,1/5/2018,1/29/2017,1/31/2017,Gallup,B-,1500,a,.15104,0,43,52,44.22,50.18134,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49244,77256,2/1/2017,23:37:18  5 Jan 2018
Donald Trump,All polls,1/5/2018,1/27/2017,2/2/2017,IBD/TIPP,A-,885,a,1.475896,0,42,48,43.73806,46.70178,"","",http://www.investors.com/wp-content/uploads/2017/02/IBDTIPP_Poll_2017_02.pdf,49269,77282,2/3/2017,23:37:18  5 Jan 2018
Donald Trump,All polls,1/5/2018,1/28/2017,1/31/2017,YouGov,B,1500,a,.7992386,0,43,44,43.65189,46.51404,"","",http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/qg8b1mgh4b/econToplines.pdf,49268,77280,2/1/2017,23:37:18  5 Jan 2018
Donald Trump,All polls,1/5/2018,1/29/2017,1/31/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,.1436311,0,53,47,48.30529,46.89227,"",T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49250,77262,2/1/2017,23:37:18  5 Jan 2018
Donald Trump,All polls,1/5/2018,1/30/2017,2/1/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,.1403588,0,53,47,48.30529,46.89227,"",T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49258,77270,2/2/2017,23:37:18  5 Jan 2018
Donald Trump,All polls,1/5/2018,1/30/2017,2/1/2017,Gallup,B-,1500,a,.1485098,0,43,52,44.22,50.18134,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49232,77244,2/2/2017,23:37:18  5 Jan 2018
Donald Trump,All polls,1/5/2018,1/29/2017,2/2/2017,Ipsos,A-,3154,a,.3778672,0,45.3,47.4,45.45164,46.42082,"",T,http://polling.reuters.com/#poll/CP3_2/,49417,77590,3/1/2017,23:37:18  5 Jan 2018
Donald Trump,All polls,1/5/2018,1/30/2017,1/31/2017,Public Policy Polling,B+,725,rv,.8094699,0,47,49,46.16379,49.50037,"","",http://www.publicpolicypolling.com/pdf/2017/PPP_Release_National_2217.pdf,49238,77250,2/1/2017,23:37:18  5 Jan 2018
Donald Trump,All polls,1/5/2018,1/31/2017,2/2/2017,Gallup,B-,1500,a,.1466895,0,43,52,44.22,50.18134,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49233,77245,2/3/2017,23:37:18  5 Jan 2018
Donald Trump,All polls,1/5/2018,1/31/2017,2/2/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,.1375607,0,54,46,49.30529,45.89227,"",T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49263,77275,2/3/2017,23:37:18  5 Jan 2018
Donald Trump,All polls,1/5/2018,1/31/2017,2/2/2017,CNN/Opinion Research Corp.,A-,1002,a,1.614841,0,44,53,43.72461,51.59881,"","",http://i2.cdn.turner.com/cnn/2017/images/02/03/rel2a.-.trump.pdf,49264,77276,2/3/2017,23:37:18  5 Jan 2018
Donald Trump,All polls,1/5/2018,1/30/2017,2/3/2017,Ipsos,A-,3368,a,.3987346,0,44.9,47.7,45.05164,46.72082,"",T,http://polling.reuters.com/#poll/CP3_2/,49416,77589,3/1/2017,23:37:18  5 Jan 2018
Donald Trump,All polls,1/5/2018,2/1/2017,2/3/2017,Gallup,B-,1500,a,.1450827,0,44,50,45.22,48.18134,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49248,77260,2/4/2017,23:37:18  5 Jan 2018
Donald Trump,All polls,1/5/2018,2/1/2017,2/2/2017,CBS News,A-,1019,a,1.525446,0,40,48,41.11796,47.84001,"","",http://www.cbsnews.com/news/americans-sharply-divided-along-partisan-lines-over-travel-ban-trump-cbs-news-poll/?ftag=CNM-00-10aab7e&linkId=34085362,49252,77264,2/3/2017,23:37:18  5 Jan 2018
Donald Trump,All polls,1/5/2018,1/30/2017,2/5/2017,SurveyMonkey,C-,9219,a,.5192571,0,46,52,44.15891,50.45781,"","",https://blog.electiontracking.surveymonkey.com/2017/02/06/trump-approval-january-30-february-5/,49272,77286,2/6/2017,23:37:18  5 Jan 2018
Donald Trump,All polls,1/5/2018,1/31/2017,2/4/2017,Ipsos,A-,2774,a,.3269394,0,45.2,47.7,45.35164,46.72082,"",T,http://polling.reuters.com/#poll/CP3_2/,49415,77588,3/1/2017,23:37:18  5 Jan 2018
Donald Trump,All polls,1/5/2018,2/1/2017,2/5/2017,Ipsos,A-,1849,a,.2178391,0,47.5,46.8,47.65164,45.82082,"",T,http://polling.reuters.com/#poll/CP3_2/,49414,77587,3/1/2017,23:37:18  5 Jan 2018
Donald Trump,All polls,1/5/2018,2/2/2017,2/4/2017,Gallup,B-,1500,a,.1436685,0,42,53,43.22,51.18134,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49265,77277,2/5/2017,23:37:18  5 Jan 2018
Donald Trump,All polls,1/5/2018,2/2/2017,2/4/2017,Morning Consult,"",2070,rv,.6664919,0,47,46,43.13889,49.1742,"","",http://www.politico.com/story/2017/02/trump-democrats-poll-234778,49275,77289,2/5/2017,23:37:18  5 Jan 2018
Donald Trump,All polls,1/5/2018,2/1/2017,2/5/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,.0805467,0,53,47,48.30529,46.89227,"",T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49256,77268,2/6/2017,23:37:18  5 Jan 2018
Donald Trump,All polls,1/5/2018,2/2/2017,2/4/2017,Zogby Interactive/JZ Analytics,C-,860,lv,.8375031,0,47,43,45.30545,44.21958,"","",https://www.zogbyanalytics.com/news/768-voters-agree-with-president-trump-s-executive-orders-president-s-approval-rating-up,49270,77284,2/5/2017,23:37:18  5 Jan 2018
Donald Trump,All polls,1/5/2018,2/2/2017,2/6/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,.2376734,0,53,47,48.30529,46.89227,"",T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49271,77285,2/7/2017,23:37:18  5 Jan 2018
Donald Trump,All polls,1/5/2018,2/3/2017,2/5/2017,Gallup,B-,1500,a,.1424294,0,42,52,43.22,50.18134,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49261,77273,2/6/2017,23:37:18  5 Jan 2018
Donald Trump,All polls,1/5/2018,2/2/2017,2/6/2017,Quinnipiac University,A-,1155,rv,1.512833,0,42,51,43.82998,49.52622,"","",https://poll.qu.edu/national/release-detail?ReleaseID=2427,49276,77290,2/7/2017,23:37:18  5 Jan 2018
Donald Trump,All polls,1/5/2018,2/2/2017,2/6/2017,Ipsos,A-,1869,a,.2204456,0,47.1,47.5,47.25164,46.52082,"",T,http://polling.reuters.com/#poll/CP3_2/,49413,77586,3/1/2017,23:37:18  5 Jan 2018
Donald Trump,All polls,1/5/2018,2/2/2017,2/6/2017,McLaughlin & Associates,C-,1000,lv,.7677615,0,48,48,44.07458,50.28887,"","",http://mclaughlinonline.com/2017/11/16/ma-national-survey-results-11-14-17/,50468,79636,11/16/2017,23:37:18  5 Jan 2018
Donald Trump,All polls,1/5/2018,2/4/2017,2/6/2017,Gallup,B-,1500,a,.141351,0,42,54,43.22,52.18134,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49274,77288,2/7/2017,23:37:18  5 Jan 2018
Donald Trump,All polls,1/5/2018,2/3/2017,2/7/2017,Ipsos,A-,1900,a,.2244964,0,47.5,47.6,47.65164,46.62082,"",T,http://polling.reuters.com/#poll/CP3_2/,49412,77585,3/1/2017,23:37:18  5 Jan 2018
Donald Trump,All polls,1/5/2018,2/4/2017,2/8/2017,Ipsos,A-,1718,a,.2035093,0,47.5,47.6,47.65164,46.62082,"",T,http://polling.reuters.com/#poll/CP3_2/,49411,77584,3/1/2017,23:37:18  5 Jan 2018
Donald Trump,All polls,1/5/2018,2/5/2017,2/6/2017,Emerson College,B,617,rv,.9469491,0,48,47,46.218,48.56398,"","",http://media.wix.com/ugd/3bebb2_ad9933217cc64d9c9fdf4e34a27756c1.pdf,49292,77307,2/7/2017,23:37:18  5 Jan 2018
Donald Trump,All polls,1/5/2018,2/5/2017,2/7/2017,YouGov,B,1500,a,.8252206,0,41,48,41.65189,50.51404,"","",http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/4zurt7hzwj/econToplines.pdf,49273,77287,2/8/2017,23:37:18  5 Jan 2018
Donald Trump,All polls,1/5/2018,2/5/2017,2/7/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,.1296176,0,53,47,48.30529,46.89227,"",T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49277,77291,2/8/2017,23:37:18  5 Jan 2018
Donald Trump,All polls,1/5/2018,2/5/2017,2/7/2017,Gallup,B-,1500,a,.1404216,0,43,52,44.22,50.18134,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49291,77306,2/8/2017,23:37:18  5 Jan 2018
Donald Trump,All polls,1/5/2018,2/6/2017,2/8/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,.1291323,0,53,47,48.30529,46.89227,"",T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49290,77305,2/9/2017,23:37:18  5 Jan 2018
Donald Trump,All polls,1/5/2018,2/6/2017,2/8/2017,Gallup,B-,1500,a,.1396314,0,43,52,44.22,50.18134,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49286,77301,2/9/2017,23:37:18  5 Jan 2018
Donald Trump,All polls,1/5/2018,2/5/2017,2/9/2017,Ipsos,A-,1756,a,.2085994,0,47.8,46.4,47.95164,45.42082,"",T,http://polling.reuters.com/#poll/CP3_2/,49410,77583,3/1/2017,23:37:18  5 Jan 2018
