president,subgroup,modeldate,approve_estimate,approve_hi,approve_lo,disapprove_estimate,disapprove_hi,disapprove_lo,timestamp
Donald Trump,Voters,1/5/2018,40.64473,45.25613,36.03334,54.73632,58.91682,50.55581,23:37:32  5 Jan 2018
Donald Trump,Adults,1/5/2018,38.72204,43.11031,34.33376,54.79131,59.62421,49.95842,23:37:26  5 Jan 2018
Donald Trump,All polls,1/5/2018,38.82547,43.64261,34.00834,54.96257,59.63041,50.29473,23:37:18  5 Jan 2018
Donald Trump,All polls,1/4/2018,38.47328,43.46577,33.48078,55.33284,60.01302,50.65265,14:37:19  4 Jan 2018
Donald Trump,Adults,1/4/2018,38.15102,42.57115,33.73088,55.35013,60.21455,50.4857,14:37:26  4 Jan 2018
Donald Trump,Voters,1/4/2018,40.28809,45.02804,35.54815,55.00038,59.29904,50.70172,14:37:32  4 Jan 2018
Donald Trump,Adults,1/3/2018,37.76004,41.94017,33.5799,55.76106,60.762,50.76013,12:59:27  3 Jan 2018
Donald Trump,Voters,1/3/2018,40.21217,44.87788,35.54647,55.12443,59.37215,50.8767,12:59:34  3 Jan 2018
Donald Trump,All polls,1/3/2018,38.16097,43.0086,33.31334,55.69035,60.4595,50.9212,12:59:20  3 Jan 2018
Donald Trump,All polls,1/2/2018,38.12047,42.98391,33.25703,55.82487,60.59271,51.05703,21:35:19  2 Jan 2018
Donald Trump,Voters,1/2/2018,39.89989,44.6306,35.16919,55.2852,59.59282,50.97758,21:35:53  2 Jan 2018
Donald Trump,Adults,1/2/2018,37.71881,42.00691,33.43071,55.879,60.83708,50.92091,21:35:39  2 Jan 2018
Donald Trump,All polls,1/1/2018,37.8654,42.80467,32.92613,56.16106,61.01686,51.30525,21:35:32  2 Jan 2018
Donald Trump,Adults,1/1/2018,37.33959,41.62288,33.0563,56.36489,61.42876,51.30103,21:35:47  2 Jan 2018
Donald Trump,Voters,1/1/2018,39.47977,44.27288,34.68666,55.76954,60.13069,51.40839,21:35:59  2 Jan 2018
Donald Trump,Voters,12/31/2017,39.47977,44.27288,34.68666,55.76954,60.13069,51.40839,13:04:32 31 Dec 2017
Donald Trump,Adults,12/31/2017,37.33959,41.62288,33.0563,56.36489,61.42876,51.30103,13:04:26 31 Dec 2017
Donald Trump,All polls,12/31/2017,37.8654,42.80467,32.92613,56.16106,61.01686,51.30525,13:04:19 31 Dec 2017
Donald Trump,Adults,12/30/2017,37.12983,41.34206,32.9176,56.50421,61.57931,51.42911,13:07:25 30 Dec 2017
Donald Trump,Voters,12/30/2017,39.47977,44.27288,34.68666,55.76954,60.13069,51.40839,13:07:31 30 Dec 2017
Donald Trump,All polls,12/30/2017,37.73003,42.64738,32.81269,56.24842,61.10892,51.38792,13:07:18 30 Dec 2017
Donald Trump,Adults,12/29/2017,37.08881,41.29662,32.881,56.61979,61.70961,51.52996,14:00:31 29 Dec 2017
Donald Trump,Voters,12/29/2017,39.47977,44.27288,34.68666,55.76954,60.13069,51.40839,14:00:37 29 Dec 2017
Donald Trump,All polls,12/29/2017,37.71204,42.62421,32.79987,56.31897,61.18826,51.44968,14:00:24 29 Dec 2017
Donald Trump,Voters,12/28/2017,39.59424,44.46544,34.72304,55.86306,60.28429,51.44183,13:06:33 28 Dec 2017
Donald Trump,Adults,12/28/2017,36.64524,40.75099,32.53949,56.9993,62.23492,51.76368,13:06:26 28 Dec 2017
Donald Trump,All polls,12/28/2017,37.73159,42.75414,32.70905,56.41101,61.38774,51.43429,13:06:19 28 Dec 2017
Donald Trump,All polls,12/27/2017,37.53883,42.5399,32.53776,56.67389,61.58022,51.76756,13:04:19 27 Dec 2017
Donald Trump,Adults,12/27/2017,36.40348,40.55858,32.24838,57.36427,62.49175,52.23679,13:04:26 27 Dec 2017
Donald Trump,Voters,12/27/2017,39.06779,43.80937,34.32621,56.30027,60.57754,52.02301,13:04:32 27 Dec 2017
Donald Trump,Voters,12/26/2017,38.8737,43.41353,34.33386,56.64392,60.78534,52.50251,14:58:32 26 Dec 2017
Donald Trump,Adults,12/26/2017,36.36728,40.52427,32.21029,57.42441,62.56409,52.28473,14:58:26 26 Dec 2017
Donald Trump,All polls,12/26/2017,37.38361,42.19453,32.57268,56.89546,61.75955,52.03138,14:58:19 26 Dec 2017
Donald Trump,Adults,12/25/2017,36.23244,40.50846,31.95642,57.44253,62.80125,52.08381,13:26:45 26 Dec 2017
Donald Trump,Voters,12/25/2017,38.84623,43.48132,34.21114,56.60857,60.82695,52.39019,13:26:57 26 Dec 2017
Donald Trump,All polls,12/25/2017,37.3656,42.29593,32.43528,56.87848,61.88215,51.8748,13:26:31 26 Dec 2017
Donald Trump,Adults,12/24/2017,36.23244,40.50846,31.95642,57.44253,62.80125,52.08381,13:06:25 24 Dec 2017
Donald Trump,Voters,12/24/2017,38.84623,43.48132,34.21114,56.60857,60.82695,52.39019,13:06:31 24 Dec 2017
Donald Trump,All polls,12/24/2017,37.3656,42.29593,32.43528,56.87848,61.88215,51.8748,13:06:18 24 Dec 2017
Donald Trump,Voters,12/23/2017,38.84623,43.48132,34.21114,56.60857,60.82695,52.39019,13:16:31 23 Dec 2017
Donald Trump,Adults,12/23/2017,36.06482,40.29242,31.83723,57.65516,62.98712,52.3232,13:16:25 23 Dec 2017
Donald Trump,All polls,12/23/2017,37.25974,42.16922,32.35025,57.0198,62.00357,52.03604,13:16:19 23 Dec 2017
Donald Trump,Adults,12/22/2017,35.87907,40.07583,31.6823,57.76529,63.09438,52.43619,13:03:25 22 Dec 2017
Donald Trump,Voters,12/22/2017,38.84623,43.48132,34.21114,56.60857,60.82695,52.39019,13:03:31 22 Dec 2017
Donald Trump,All polls,12/22/2017,37.14611,42.04803,32.24418,57.08867,62.06757,52.10978,13:03:18 22 Dec 2017
Donald Trump,Adults,12/21/2017,35.77409,39.98901,31.55917,57.88775,63.29929,52.47622,13:16:26 21 Dec 2017
Donald Trump,Voters,12/21/2017,38.74059,43.34423,34.13694,56.77304,60.98219,52.5639,13:16:32 21 Dec 2017
Donald Trump,All polls,12/21/2017,37.0453,41.94979,32.1408,57.23926,62.26624,52.21227,13:16:19 21 Dec 2017
Donald Trump,Voters,12/20/2017,38.77604,43.37341,34.17867,56.78464,60.9945,52.57477,14:28:32 20 Dec 2017
Donald Trump,Adults,12/20/2017,35.86745,40.16387,31.57104,57.55755,62.97956,52.13554,14:28:26 20 Dec 2017
