Data Frame Name,Article Title,Filed Under,Author 1,Author 2,Author 3,Date,URL,Notes
airline_safety,Should Travelers Avoid Flying Airlines That Have Had Crashes in the Past?,Airline Safety,Nate Silver,,,2014/07/18,http://fivethirtyeight.com/features/should-travelers-avoid-flying-airlines-that-have-had-crashes-in-the-past/,
avengers,Joining The Avengers Is As Deadly As Jumping Off A Four-Story Building,Movies,Walt Hickey,,,2015/05/12,http://fivethirtyeight.com/features/avengers-death-comics-age-of-ultron/,
bad_drivers,"Dear Mona, Which State Has The Worst Drivers?",Hope the Numbers Help,Mona Chalabi,,,2014/10/24,http://fivethirtyeight.com/datalab/which-state-has-the-worst-drivers/,
bechdel,The Dollar-And-Cents Case Against Hollywood’s Exclusion of Women,Movies,Walt Hickey,,,2014/04/01,http://fivethirtyeight.com/features/the-dollar-and-cents-case-against-hollywoods-exclusion-of-women/,
biopics,Straight Outta Compton' Is The Rare Biopic Not About White Dudes,Movies,Hannah Fingerhut,,,2015/08/14,http://fivethirtyeight.com/features/straight-outta-compton-is-the-rare-biopic-not-about-white-dudes/,
bob_ross,A Statistical Analysis of the Work of Bob Ross,Happy Spreadsheets,Walt Hickey,,,2014/04/14,http://fivethirtyeight.com/features/a-statistical-analysis-of-the-work-of-bob-ross/,
cand_events_20150114,Looking For Clues: Who Is Going To Run For President In 2016?,The Visible Primary,Harry Enten,,,2015/01/14,http://fivethirtyeight.com/datalab/2016-president-who-is-going-to-run/,
cand_events_20150130,Who Will Run For President: Romney Is Out,The Visible Primary,Harry Enten,,,2015/01/30,http://fivethirtyeight.com/datalab/romney-not-running-for-president/,
cand_state_20150114,Looking For Clues: Who Is Going To Run For President In 2016?,The Visible Primary,Harry Enten,,,2015/01/14,http://fivethirtyeight.com/datalab/2016-president-who-is-going-to-run/,
cand_state_20150130,Who Will Run For President: Romney Is Out,The Visible Primary,Harry Enten,,,2015/01/30,http://fivethirtyeight.com/datalab/romney-not-running-for-president/,
classic_rock_raw_data,Why Classic Rock Isn’t What It Used To Be,Music,Walt Hickey,,,2014/07/07,http://fivethirtyeight.com/features/why-classic-rock-isnt-what-it-used-to-be/,
classic_rock_song_list,Why Classic Rock Isn’t What It Used To Be,Music,Walt Hickey,,,2014/07/07,http://fivethirtyeight.com/features/why-classic-rock-isnt-what-it-used-to-be/,
college_all_ages,The Economic Guide To Picking A College Major,,Ben Casselman,,,2014/09/12,http://fivethirtyeight.com/features/the-economic-guide-to-picking-a-college-major/,
comic_characters,"Comic Books Are Still Made By Men, For Men And About Men",Comic Books,Walt Hickey,,,2014/10/13,http://fivethirtyeight.com/features/women-in-comic-books/,
comma_survey,"Elitist, Superfluous, Or Popular? We Polled Americans on the Oxford Comma",,Walt Hickey,,,2014/06/17,http://fivethirtyeight.com/datalab/elitist-superfluous-or-popular-we-polled-americans-on-the-oxford-comma/,
congress_age,Both Republicans And Democrats Have an Age Problem,Age,Nate Silver,Dhrumil Mehta,,2014/04/28,http://fivethirtyeight.com/features/both-republicans-and-democrats-have-an-age-problem/,
daily_show_guests,Every Guest Jon Stewart Ever Had On ‘The Daily Show’,TV,Walt Hickey,,,2015/08/06,http://fivethirtyeight.com/datalab/every-guest-jon-stewart-ever-had-on-the-daily-show/,
democratic_bench,Some Democrats Who Could Step Up If Hillary Isn’t Ready For Hillary,2016 Election,Harry Enten,,,2015/03/27,http://fivethirtyeight.com/datalab/some-democrats-who-could-step-up-if-hillary-isnt-ready-for-hillary/,
